instance,metrics
96,"{'q_error': 1.5548923774217056, 'mae': 0.9450605498851362, 'rme': 0.33138539038123616}"
109,"{'q_error': 1.014801387628174, 'mae': 0.14326496239706257, 'rme': 0.01477935431344323}"
79,
100,"{'q_error': 1.8469366658393234, 'mae': 4.0621869785379925, 'rme': 0.41908819389886803}"
132,
