date_hour,avg_compile_time,avg_queue_time,avg_execution_time,avg_cluster_size,total_cached_queries,total_aborted_queries,avg_mbytes_scanned,avg_mbytes_spilled,avg_joins,avg_scans,avg_aggregations,total_queries
20240229 23,776.3225806451613,0.0,2565.232558139535,7.565217391304348,12,1,3976.516129032258,0.0,0.9069767441860465,1.0465116279069768,1.8837209302325582,43
20240301 00,3136.08509598844,1362.7841846887027,3149.008982428125,6.424786889472582,14243,1546,9676.263713711276,4876.9450825431495,0.650022144180447,1.3658717633629214,2.0641931721070654,160313
20240301 01,2865.8616951904396,2366.9420831191806,2858.0411950324515,7.291367815728775,16201,1686,12031.243056912761,6927.131118374498,0.720408065692122,1.4239388977206173,2.125378004613748,167326
20240301 02,3247.7037900262467,3082.7424254002217,3358.603834740636,7.16100963612829,13458,1496,9593.445267489711,4777.2471105483455,0.7337013971140743,1.4660719061628396,2.0734662947821545,157038
20240301 03,3472.503981405759,1734.1458837532236,3642.121047411228,6.865767099530477,11179,1459,15607.61989953799,7170.722297384821,0.6997222773259274,1.4438008331680223,2.100687694240561,151230
20240301 04,3507.8704308946308,1519.7375982963172,3484.109832869281,7.897123715351256,11928,1454,11959.464362212277,3059.3948929028134,0.6270747447713194,1.3399163986675589,2.066046491549934,138993
20240301 05,3911.8070229710006,2147.296131116757,3843.5993593283993,7.6091929718572215,18015,1692,12289.986080354318,4619.099798019128,0.6574409035678781,1.268398597150116,2.096114547663758,144848
20240301 06,3373.5479861947974,2736.824477541476,3731.9212826697944,7.099450603355244,12736,1637,9347.511166416693,5097.845952895027,0.6001726160178813,1.2391912128119444,2.1154461828992113,135561
20240301 07,4044.0684593995284,994.9072113904102,4698.918877141287,6.106052935171429,22701,1696,6864.75707151221,2842.5893585203785,0.5405433148363957,1.1789473048613333,1.69676293527682,165613
20240301 08,4059.388675012883,2774.1951017432225,4219.925240273083,6.973481308411215,18039,1866,9558.429465427835,3512.3507540998676,0.577145887187645,1.212944919467091,1.9216941737920064,150870
20240301 09,3796.382483899941,1389.4703406572642,4148.8700646498655,7.257374183321234,16816,2286,9490.877712990994,3828.293172639354,0.6551797197551437,1.3655093825336564,2.088562871851254,174633
20240301 10,4076.31411307598,2434.657418466378,4590.077986411607,8.284497251718221,17009,2266,9677.254464285714,4995.219097962568,0.6112100979643517,1.3051710297025825,2.055711106324934,153219
20240301 11,2797.6579448815196,2152.5249167656393,3009.4285109324196,7.536241338575736,13013,2292,7013.063148042605,2684.5572107566577,0.5785566869803936,1.3262008138470824,2.1561788127178207,205444
20240301 12,3023.1535882106377,2668.433908486013,3211.1222985689515,7.234566993764318,20304,1291,8193.372500276213,3205.1817865429234,0.730575630189835,1.4505752350090644,2.139118450496199,202439
20240301 13,2969.6124292367763,1282.8187001298943,3066.967173872704,7.31284616097064,23434,1905,7117.349235988743,2178.537148567972,0.6854518463536834,1.402027277788087,2.1596817591389867,215560
20240301 14,2748.3494202775896,695.2667196322674,3292.683464328614,7.609115043184739,21659,1054,8846.674876005702,3745.702152081876,0.714728220261234,1.4567620993294177,2.18072146714714,211458
20240301 15,1921.0685797748947,418.9268600375848,2267.621335076395,5.188242345198292,14230,941,4900.048833746557,3290.5079074149853,0.4480529455020835,1.2787809461557316,2.1447765340305582,305975
20240301 16,1855.4315779863305,1380.8302629051088,2295.7824316136375,4.630330241665903,19834,1164,3984.0251273858253,2787.7050919667363,0.4042916044748548,1.2034669779951823,2.0841651026349624,338335
20240301 17,1752.6056468054005,1832.6713132728546,1934.290179343227,4.56192569548562,16828,1194,3906.7237874768907,1925.879488787075,0.43377524620643426,1.278996551441752,2.1148306202855296,329703
20240301 18,1660.9768667558417,1155.8883371383931,1849.7142723050185,4.755409261232768,16707,1193,4204.673688404493,2469.601014060612,0.3871956204467968,1.226907727803986,2.0828645136285737,330262
20240301 19,3541.553866985913,1287.514864620073,3702.0666084158256,7.3947792306234605,14736,1083,10527.274538398213,5209.367640832647,0.6679488955427451,1.4051274947520964,2.1223214380853945,187694
20240301 20,2738.3866045150644,1284.6623394955875,3265.316449872433,7.138239798923929,14190,929,7927.730774967016,5843.350903458957,0.6950729850683843,1.4302197917102346,2.171974988498055,191272
20240301 21,2691.614909013871,827.8180528498954,2870.755452297855,6.83829707022835,14312,1067,7095.499788714539,3499.406631546328,0.7207570251502177,1.476116802278066,2.241288916530884,194551
20240301 22,3403.5179184381586,1918.7304399313969,3571.118701167887,8.922256288885302,11851,979,9901.264534992972,4554.424312805827,0.6128549260882585,1.3468679389105165,2.2223205292244033,146932
20240301 23,3059.708112300522,1631.1044956499095,3307.6799094593603,9.905319719635209,12310,860,9422.85886062028,3864.401979617274,0.6631233849913533,1.3878958649101605,1.8562700728464883,149767
20240302 00,2982.5681558154874,2897.303703068747,3161.0461046753694,10.105239860565485,13770,915,9985.905631350957,6529.179263997409,0.654514951874801,1.4016923416031937,1.6730792779995591,163324
20240302 01,2949.2088299799752,2001.2465097726367,3011.861859520615,11.007649513212796,17558,1015,9657.482493253363,6200.2192674291,0.6923885846901403,1.3762797500332402,1.7891540051492185,165462
20240302 02,3228.9105261651207,658.9720935008921,3650.912281940362,9.06071554607021,15299,1021,13541.903912621709,4789.762663025905,0.6288012014941659,1.359138929181161,1.9848593764039897,155806
20240302 03,3217.702170609618,377.13667312221224,3234.1734224963393,7.4948331624201305,13207,869,11584.706718249574,8110.46398425574,0.687697799491204,1.4155459434656157,2.161269425681375,148193
20240302 04,3369.913601163736,724.6642420670617,3507.832214088526,8.641088826994958,11301,966,11993.746989224594,4015.437029016128,0.5334300071342163,1.224572722478985,2.1450960017370266,128956
20240302 05,3192.7256848009583,568.6650145562159,3325.368272261386,7.019742146781822,18506,1029,10546.425360210822,4492.539053355693,0.6841421456583981,1.3477311551139235,2.1148317012727667,166252
20240302 06,4017.4225303003886,1189.2071594858126,4153.1205236344,7.538931816992552,15005,1034,8830.835156886484,5551.660872412192,0.5443233577381154,1.138020850905901,2.079435878403455,148195
20240302 07,2839.7473506286324,926.1288930561038,2874.4910679036716,7.251417315966973,23362,1049,7176.786214812513,2232.8701701428745,0.44692832390226783,0.9723264025968329,1.8026056060007896,182376
20240302 08,2928.3285417626676,1299.8448537471718,3207.1466524112684,7.462264022908948,17315,926,7171.9330714363305,2803.1087234633164,0.4290118956980015,0.9295491730248984,2.0097951866431236,185193
20240302 09,3314.7744653319955,1104.1713439693003,3688.2364278553455,7.62839817226801,12306,975,8459.579695097429,3481.704785581106,0.6068277331846157,1.3228102323049242,2.173362280160137,150621
20240302 10,3922.1122893391403,1687.0520793615315,4670.324506620035,7.710265785522197,13919,1025,10493.088990785496,5199.074862366565,0.5507053920086251,1.2567679503530247,2.0884796928619327,152114
20240302 11,4093.7986711465137,2650.5270551790377,4154.563687891455,8.49127729546055,14473,1037,9717.396260408781,3288.168122634368,0.6621416879726202,1.354348443650826,2.1603425185666167,147846
20240302 12,4554.989424836702,2744.77959126735,4867.662139917696,6.907358385867242,11893,1024,12407.147662805248,4232.351957194292,0.638494803654879,1.3512799051405455,2.1824719257864267,143370
20240302 13,4354.97665749534,1662.0523318728885,4637.753411370355,7.455710585357869,15537,1043,10494.823724790638,3529.9418188060727,0.6331094277871622,1.2916358741554055,2.2748231630067566,151552
20240302 14,3922.4004726871835,1480.73932313947,4475.331547155732,7.681877872619829,15812,1322,10514.705820515253,3356.989940210686,0.5947521115706998,1.2777431120660263,2.175783034100339,155453
20240302 15,2120.188031840796,1048.9673504311995,2463.0851140483214,4.661138284267841,14320,1124,5091.1361539380905,1556.7647464244453,0.3202697529891243,1.1553293853624853,2.0951490996975224,266466
20240302 16,1597.5542455182974,977.812921493165,1705.9380489316457,4.122262371528664,50840,1232,5027.616330561919,1776.1269588119892,0.21983995382646604,0.907849264227575,1.8939049515911182,422753
20240302 17,1837.0522288914044,1327.7889482294072,2066.378163491147,4.532843530271532,16264,1182,4207.283666175761,2395.4500736358327,0.28991652232486526,0.9821196593533488,2.1042478589299463,332544
20240302 18,2138.9952574265785,1553.4796844051957,2546.3357152497365,4.427121856315043,12718,960,5169.571370388301,3024.45086489768,0.3125271294077308,1.106303506487348,2.0745361099256243,274149
20240302 19,1835.3100090783028,1608.3735573113725,2037.0519702027323,4.541450599327135,12468,1354,5325.029179111716,2674.720373535442,0.27703758388834615,1.0279293699106145,2.1133849047117486,314257
20240302 20,3024.153097161798,5184.441797960092,4067.918716469815,6.494987999435268,13979,1276,6050.418900507709,7517.406364991383,0.5075595326448822,1.2185319875315421,2.1671791174537205,188636
20240302 21,3569.74444131093,2953.8540329407374,3693.3664940310746,8.043538309140093,14503,1071,9719.372490500553,6630.004211171948,0.5935864877655356,1.2917074926513228,2.2542808961053677,150027
20240302 22,4337.297780787396,1244.4217047390157,4751.293798757107,8.170396690708527,11053,1082,11659.701029510337,4540.6947647938405,0.5987508847251714,1.3042287918737507,2.22050073500245,128571
20240302 23,3434.6078695322535,2527.559979747819,4080.623517498717,8.326703672403196,14074,1055,12457.31254455292,6173.393220207656,0.6234342705746904,1.3345355176096878,2.0416348781401283,144182
20240303 00,4405.0264069443865,2391.774625373167,4364.440326124245,7.788247296470108,15769,948,16036.992065210152,10776.001723506295,0.5970380210652322,1.3082560235907243,2.050407655306818,137003
20240303 01,3615.1254481147175,1449.9454899008908,3602.6264444723233,8.708729192839195,17680,1048,10988.307574144363,7060.040207417281,0.6319923611982324,1.2743208017953973,2.156943921716221,143478
20240303 02,4176.408390410959,866.6971629560916,4585.6317486085345,8.83393830372726,13031,856,13006.269117378486,11845.528738031257,0.5702922077922078,1.2655148423005567,2.134369202226345,129360
20240303 03,3710.3909470058684,915.9201583195594,3929.3595914525226,8.823781009409752,11648,871,12103.791770931615,6080.086565204906,0.5211129805732413,1.1519675059481014,2.1071399452997026,134917
20240303 04,3301.949659139476,1133.4306220712504,3498.2792520448875,9.396690020953379,12145,509,10520.635701079245,5487.267553854754,0.49765055464958136,1.1682770089530303,2.0674410060395894,155143
20240303 05,2353.1935370794167,629.2481676135104,2487.9290443229256,8.372192388512724,25456,669,6918.955528495376,2576.3328016343453,0.5277494660155454,1.1045989134191845,1.7680424705976194,225662
20240303 06,2330.730633812339,890.4273313517053,2652.4704569499722,7.836411048165528,12762,779,6277.167922573225,2421.3511818541847,0.39657917275429494,1.028172703914555,1.7618016020958234,198490
20240303 07,3882.9130633761038,657.6780127135837,3986.5083404715747,8.276282965989468,13556,902,9104.272402503282,4511.6118036253265,0.6113866221841516,1.260365477961619,2.0369911185248637,133086
20240303 08,3617.5254341768928,1907.683204534118,3750.04434355775,7.414147115206835,15812,883,8579.12528490858,2429.3740329745287,0.5647550405193416,1.2248696947133284,2.0469460489123756,138329
20240303 09,3740.343313118417,753.5776698399523,4081.6544317916528,8.665456287666743,12356,1162,7378.202791508329,4181.338759678848,0.5832014733729346,1.2924697154418823,2.1358525070685586,154204
20240303 10,3521.4186365957326,909.1408520357369,3788.4254257250504,8.14569663738413,13827,967,7927.175807744816,5146.778309893745,0.5849660656303073,1.3211954788878115,2.1648240813644026,153679
